chapter,hiragana,kanji,english
5,じてんしゃ,自転車,bicycle
5,あるいて,歩いて,on foot
5,ひと,人,"person, people"
5,ともだち,友達,friend
5,かれ,彼,"he, boyfriend, lover"
5,かのじょ,彼女,"she, girlfriend, lover"
5,ひとりで,一人で,"alone, by oneself"
5,せんしゅう,先週,last week
5,こんしゅう,今週,this week
5,らいしゅう,来週,next week
5,せんげつ,先月,last month
5,こんげつ,今月,this month
5,らいげつ,来月,next month
5,きょねん,去年,last year
5,らいねん,来年,next year
5,～がつ,～月,~th month of the year
5,なんがつ,何月,what month
5,ついたち,一日,first day of the month
5,ふつか,二日,"second, two days"
5,みっか,三日,"third, three days"
5,よっか,四日,"fourth, four days"
5,いつか,五日,"fifth, five days"
5,なのか,七日,"seventh, seven days"
5,ようか,八日,"eigth, eight days"
5,ここのか,九日,"ninth, nine days"
5,とおか,十日,"tenth, ten days"
5,じゅうよっか,十四日,"fourteenth, fourteen days"
5,はつか,二十日,"twentieth, twenty days"
5,～にち,～日,"~th day of the month, ~days"
5,いつ,何時,when
5,たんじょうび,誕生日,birthday
5,ふつう,普通,local (train)
5,きゅうこう,急行,rapid
5,とっきゅう,特急,express
5,つぎの,次の,next
5,～ばんせん,～番線,"platform ~, ~th platform"
6,たべます,食べます,eat
6,のみます,飲みます,drink
6,すいます［たばこを～］吸います,,smoke [a cigarette]
6,みます,見ます,"see, look at, watch"
6,ききます,聞きます,"hear, listen"
6,かきます,書きます,"write, draw, paint"
6,かいます,買います,buy
6,ごはん,ご飯,"a meal, cooked rice"
6,ひるごはん,昼ごはん,lunch
6,ばんごはん,晩ごはん,supper
6,たまご,卵,egg
6,にく,肉,meat
6,さかな,魚,fish
6,やさい,野菜,vegetable
6,くだもの,果物,fruit
6,みず,水,water
6,おちゃ,お茶,"tea, green tea"
6,こうちゃ,紅茶,black tea
6,ジュース,,juice
6,ビール,,beer
6,ビデオ,,video
6,えいが,映画,movie
6,てがみ,手紙,letter
6,レポート,,report
6,みせ,店,"store, shop"
6,レストラン,,restaurant
6,にわ,庭,garden
6,しゅくだい,宿題,homework (～をします: do homework)
6,テニス,,tennis
6,サッカー,,"soccer, football (～をします: play soccer)"
6,なに,何,what
6,いっしょに,一緒に,together
6,ちょっと,一寸,"a little while, a little bit"
6,いつも,何時も,"always, usually"
6,ときどき,時々,sometimes
6,それから,,"after that, and then"
6,いいですね。,,That's good.
6,なんですか,何ですか。,Yes?
7,きります,切ります,"cut, slice"
7,おくります,送ります,send
7,あげます,上げる,give
7,もらいます,貰います,receive
7,かします,貨します,lend
7,おしえます,教えます,teach
7,ならいます,習います,learn
7,はし,箸,chopsticks
7,スプーン,,spoon
7,ナイフ,,knife
7,フォーク,,fork
7,はさみ,,scissors
7,ファクス,,fax
7,ワープロ,,word procecessor
7,パソコン,,personal computer
7,ホッチキス,,stapler
7,セロテープ,,"Scotch tape, clear adhesive tape"
7,けしゴマ,消しゴマ,eraser
7,かみ,紙,paper
